Name	RA	DEC	V_sys (km/s)	z	w50 (km/s)	D_67 (Mpc)	D_70 (Mpc)	S_int (Jy km/s)	HI size (kpc)	HI size err	log D_HI	log D_HI err	log M_HI (70)	err (70)	log M_HI (67)	err (67)	Inclination	Morpho	RMS (mJy/beam)	Field
MGTH_J022302.5-043637	35.760600	-4.610338	24045	0.080205751	67.319194	377.9618918	364.2503943	0.126826613	39.41439975	0.085062444	1.595654917	0.023177738	9.531172772	0.027905496	9.563268739	0.027905496	TRUE	ET	0.172183061	XMMLSS13_1310
MGTH_J022145.5-050210	35.439628	-5.036074	22088	0.073551875	143.103648	345.0371449	332.4954389	0.172964232	33.44465106	0.076444398	1.524326669	0.021804181	9.592056904	0.014987859	9.624217223	0.014987859	TRUE	D	0.126786563	XMMLSS13_1310
MGTH_J022123.0-040259	35.345706	-4.049753	15697	0.052276342	138.860339	241.6281396	232.7899274	0.932866277	64.20550498	0.05356609	1.807572266	0.012884467	10.03166344	0.008440471	10.06403009	0.008440471	TRUE	S	0.391920931	XMMLSS13_1330
MGTH_J021902.3-042646	34.759568	-4.44611	12397	0.041314254	177.586421	189.4743233	182.5213771	0.523063217	37.57450555	0.043126115	1.574893274	0.011905877	9.578193313	0.006348025	9.610666569	0.006348025	TRUE	S	0.166854634	XMMLSS13_1330
MGTH_J022144.2-044231	35.434007	-4.708603	16664	0.055545007	66.633396	257.3286947	247.9252544	0.243671803	35.37578529	0.056896552	1.548706089	0.015973096	9.500668586	0.008049234	9.533003485	0.008049234	TRUE	SM	0.09735686	XMMLSS13_1330
MGTH_J022105.4-042951	35.272616	-4.497611	12302	0.040994489	227.802632	187.964639	181.0664434	0.544030017	38.90491211	0.042836492	1.590004438	0.011713528	9.588577231	0.003407734	9.621053598	0.003407734	TRUE	S	0.093187233	XMMLSS13_1330
MGTH_J022340.4-050045	35.918125	-5.012551	13393	0.04467332	125.894811	205.3732368	197.8443092	0.932007597	50.38641876	0.046211501	1.702313492	0.011802736	9.896280857	0.008737749	9.928721427	0.008737749	TRUE	S	0.408021044	XMMLSS13_1330
MGTH_J022404.1-044812	36.017194	-4.803471	13105	0.04355046	150.715964	200.0504609	192.7142411	4.105304192	106.1329855	0.045168704	2.025850381	0.009693987	10.51832134	0.003484343	10.55077283	0.003484343	TRUE	S	0.717392137	XMMLSS13_1330
MGTH_J022248.8-045308	35.703326	-4.885567	11194	0.037180893	202.072023	170.0110127	163.7647046	1.44554028	46.41709688	0.039571012	1.666677974	0.010322803	9.928937081	0.002244153	9.961450577	0.002244153	TRUE	Irr	0.163614585	XMMLSS13_1330
MGTH_J022049.9-044928	35.207781	-4.824553	16677	0.055545007	nan	257.3286947	247.9252544	0.256819309	39.10821303	0.056896552	1.592267972	0.015536098	9.523490982	0.006086029	9.555825881	0.006086029	TRUE	ET	0.077583328	XMMLSS13_1330
MGTH_J022051.9-045832	35.216175	-4.97547	13153	0.043872565	218.026447	201.5765255	194.1850427	0.065639795	15.06213853	0.045466449	1.177886638	0.016782618	8.728479085	0.025343015	8.760927445	0.025343015	TRUE	D	0.083405335	XMMLSS13_1330
MGTH_J022051.5-045703	35.214447	-4.95097	13189	0.043872565	254.177063	201.5765255	194.1850427	3.478587481	109.9901994	0.045466449	2.04135399	0.009683779	10.4527148	0.00051698	10.48516316	0.00051698	TRUE	SM	0.090166508	XMMLSS13_1330
MGTH_J022117.8-045040	35.324328	-4.844534	13093	0.043551993	70.664004	200.0577241	192.7212412	0.152174732	22.95204676	0.045170078	1.36082142	0.014431845	9.087348817	0.014691195	9.119800296	0.014691195	TRUE	SM	0.112121778	XMMLSS13_1330
MGTH_J021947.7-045130	34.948862	-4.858296	13105	0.043712254	234.273873	200.8169251	193.4529482	0.817603883	49.44395106	0.04531845	1.694113168	0.011630671	9.820707372	0.002268649	9.853157292	0.002268649	TRUE	S	0.093012107	XMMLSS13_1330
MGTH_J022026.3-045912	35.109755	-4.986555	12805	0.042591458	87.355576	195.5108925	188.3391236	0.124318289	18.30567637	0.044290375	1.26258578	0.015251783	8.980363078	0.015315035	9.012823904	0.015315035	TRUE	SM	0.095567352	XMMLSS13_1330
